Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
144,GG Jackson II,21,MEM,PF,55,28,21.4,4.6,9.3,.496,1.2,3.5,.332,3.5,5.8,.595,.558,2.0,2.7,.742,0.9,3.4,4.3,1.5,0.6,0.8,1.5,1.4,12.5,,jacksgg01
145,De'Anthony Melton,27,GSW,PG,48,23,23.0,4.5,10.9,.410,1.5,5.0,.298,3.0,5.8,.507,.479,2.0,2.5,.824,0.8,2.4,3.2,2.6,1.6,0.4,1.9,1.9,12.5,,meltode01
146,Malik Monk,27,SAC,SG,62,3,22.0,4.5,10.2,.438,2.0,5.1,.395,2.5,5.1,.481,.536,1.5,1.7,.879,0.2,1.6,1.9,3.0,0.6,0.4,1.5,1.6,12.5,,monkma01
147,Jaylen Wells,22,MEM,SG,69,69,26.4,4.4,10.1,.431,1.9,5.3,.353,2.5,4.8,.517,.524,1.9,2.5,.784,0.9,2.3,3.2,1.6,0.9,0.1,1.1,2.1,12.5,,wellsja01
148,Deandre Ayton,27,LAL,C,71,71,27.2,5.5,8.3,.670,0.0,0.0,,5.5,8.3,.670,.670,1.3,2.0,.640,2.6,5.4,8.0,0.8,0.6,0.9,1.2,2.2,12.3,,aytonde01
149,Max Christie,22,DAL,SG,76,67,29.4,4.1,9.4,.439,2.3,5.8,.403,1.8,3.6,.496,.563,1.6,1.8,.906,0.2,3.1,3.3,2.0,0.6,0.3,1.3,1.3,12.3,,chrisma02
150,Noah Clowney,21,BRK,PF,66,60,27.0,3.8,9.6,.396,2.0,5.9,.329,1.8,3.6,.506,.498,2.7,3.4,.804,0.8,3.3,4.1,1.6,0.8,0.7,1.5,2.5,12.3,,clownno01
151,Donte DiVincenzo,29,MIN,SG,81,81,30.7,4.2,10.2,.407,3.0,7.9,.380,1.2,2.4,.497,.554,1.0,1.3,.743,0.8,3.3,4.1,3.8,1.3,0.4,1.5,2.4,12.3,,divindo01
152,Maxime Raynaud,22,SAC,C,73,55,26.4,5.2,9.1,.569,0.3,1.0,.300,4.9,8.1,.601,.585,1.8,2.2,.780,1.9,5.6,7.5,1.3,0.5,0.5,1.2,2.3,12.3,,raynama01
153,Jonathan Kuminga,23,2TM,PF,36,14,23.1,4.4,9.4,.463,1.0,2.9,.333,3.4,6.5,.521,.515,2.5,3.4,.724,1.4,4.3,5.6,2.3,0.6,0.3,1.9,1.5,12.2,,kuminjo01
153,Jonathan Kuminga,23,GSW,PF,20,13,23.8,4.4,9.7,.454,0.9,2.7,.321,3.6,7.1,.504,.497,2.5,3.3,.742,1.5,4.4,5.9,2.5,0.4,0.3,2.3,1.7,12.1,,kuminjo01
153,Jonathan Kuminga,23,ATL,PF,16,1,22.1,4.3,9.1,.476,1.1,3.3,.346,3.2,5.8,.548,.538,2.5,3.6,.702,1.3,4.1,5.3,2.1,0.9,0.3,1.3,1.4,12.3,,kuminjo01
154,Cameron Johnson,29,DEN,SF,54,54,30.5,4.2,8.8,.480,2.0,4.7,.430,2.2,4.1,.539,.596,1.7,2.1,.839,0.8,3.0,3.8,2.4,0.7,0.4,0.9,2.3,12.2,,johnsca02
155,Tre Johnson,19,WAS,SG,60,42,24.1,4.5,10.8,.419,1.9,5.4,.358,2.6,5.4,.479,.508,1.3,1.5,.874,0.5,2.4,2.8,2.0,0.6,0.3,1.6,2.0,12.2,,johnstr03
156,Duncan Robinson,31,DET,SF,76,76,27.5,4.1,9.1,.453,2.9,7.0,.410,1.3,2.1,.597,.611,1.1,1.4,.755,0.4,2.3,2.7,2.1,0.6,0.3,0.7,2.2,12.2,,robindu01
157,Donovan Clingan,21,POR,C,76,76,27.2,4.6,8.9,.519,1.1,3.2,.340,3.5,5.7,.621,.581,1.8,2.7,.680,4.5,7.1,11.6,2.1,0.6,1.7,1.2,2.3,12.1,,clingdo01
158,Blake Hinson,26,UTA,SF,13,2,20.0,4.2,7.9,.534,2.7,5.5,.493,1.5,2.5,.625,.704,0.9,1.2,.750,0.6,1.5,2.1,1.1,0.3,0.2,0.4,1.6,12.1,,hinsobl01
159,Moses Moody,23,GSW,SG,60,49,25.7,4.1,9.3,.440,2.5,6.3,.401,1.6,3.0,.522,.575,1.5,1.9,.770,0.9,2.5,3.3,1.6,1.0,0.6,1.0,2.0,12.1,,moodymo01
160,Christian Braun,24,DEN,SG,44,44,31.8,4.6,8.8,.519,1.0,3.3,.301,3.6,5.6,.646,.575,1.8,2.3,.782,1.4,3.4,4.8,2.7,0.7,0.3,1.0,2.3,12.0,,braunch01
161,Josh Hart,30,NYK,SF,66,52,30.2,4.6,9.0,.508,1.5,3.7,.413,3.0,5.3,.574,.593,1.4,1.9,.720,1.4,6.0,7.4,4.8,1.1,0.3,1.9,2.5,12.0,,hartjo01
162,Wendell Carter Jr.,26,ORL,C,77,77,29.3,4.2,8.2,.516,0.9,2.9,.321,3.3,5.3,.623,.573,2.5,3.2,.793,2.1,5.3,7.4,2.0,0.8,0.6,1.3,3.4,11.9,,cartewe01
163,Dyson Daniels,22,ATL,SG,76,76,33.2,5.3,10.2,.517,0.3,1.5,.188,5.0,8.7,.576,.532,1.0,1.6,.615,2.4,4.4,6.8,5.9,2.0,0.4,1.8,2.2,11.9,,daniedy01
164,Myles Turner,29,MIL,C,71,71,26.9,4.0,9.1,.440,2.1,5.4,.383,1.9,3.7,.523,.553,1.8,2.5,.740,1.1,4.3,5.3,1.5,0.7,1.6,1.2,2.6,11.9,,turnemy01
165,Dylan Harper,19,SAS,SG,68,4,22.6,4.8,9.5,.505,0.9,2.6,.345,3.9,6.9,.566,.553,1.3,1.7,.754,0.8,2.6,3.4,3.9,0.8,0.4,1.5,2.0,11.8,,harpedy01
166,Miles McBride,25,NYK,SG,40,14,26.4,4.1,9.7,.419,2.7,6.6,.409,1.4,3.1,.440,.558,0.9,1.1,.800,0.6,1.9,2.4,2.6,0.9,0.2,0.8,1.7,11.8,,mcbrimi01
167,Nic Claxton,26,BRK,C,69,68,27.8,4.8,8.4,.571,0.0,0.3,.158,4.8,8.2,.585,.574,2.0,3.3,.616,2.4,4.5,6.9,3.7,0.7,1.1,1.4,2.3,11.7,,claxtni01
168,Isaiah Collier,21,UTA,PG,59,19,25.7,4.3,8.7,.495,0.5,1.7,.270,3.9,7.0,.549,.521,2.6,3.5,.722,0.4,2.2,2.5,7.2,1.1,0.3,2.5,2.3,11.7,,colliis01
169,Bilal Coulibaly,21,WAS,SG,56,56,26.2,4.1,9.7,.425,1.2,3.6,.319,2.9,6.0,.490,.485,2.4,3.2,.746,0.9,3.5,4.3,2.6,1.3,1.0,1.4,2.3,11.7,,coulibi01
